"Cohort"	"Form.Name"	"Form.Type"	"Table.Name"	"Variable.Name"	"Variable.Description"	"Data.Type"	"Code"	"Code.Description"	"Specify"	"FixedUnit"	"Logline"	"LowerRange"	"UpperRange"
"468"	"Registry - JIA"	"Disease Manifestations Form"	"Common Form"	"DISEASEM"	"POSMRIDT"	"Date of 1st Positive MRI:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"469"	"Registry - JIA"	"Disease Manifestations Form"	"Common Form"	"DISEASEM"	"ACTTMJAR"	"Active TMJ Arthritis Diagnosis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"470"	"Registry - JIA"	"Disease Manifestations Form"	"Common Form"	"DISEASEM"	"TMJDIGDT"	"Date of Diagnosis:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"471"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR01"	"Malar Rash"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"472"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR2"	"Discoid Rash"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"473"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR3"	"Photosensitivity"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"474"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR4"	"Oral/Nasal ulcerations"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"475"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR5"	"Arthritis"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"476"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR6"	"Serositis"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"477"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR7"	"Renal"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"478"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR8"	"Neurologic"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"479"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR9"	"Hematologic"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"480"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR10"	"Immunologic"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"481"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACR11"	"ANA Positive"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"482"	"Registry - SLE"	"ACR Classification Criteria Score"	"Common Form"	"ACR"	"ACRSCORE"	"TOTAL Number of Categories with Criteria Met"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"483"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC00"	"Lupus nephritis defined by renal biopsy showing ISN class 2, 3, 4, or 5"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"484"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC01"	"Acute cutaneous lupus"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"485"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC02"	"Chronic cutaneous lupus"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"486"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC03"	"Oral ulcers"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"487"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC04"	"Nonscarring alopecia"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"488"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC05"	"Nonerosive arthritis involving 2 or more joints"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"489"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC06"	"Serositis"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"490"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC07"	"Renal"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"491"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC08"	"Neurologic"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"492"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC09"	"Hemolytic anemia"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"493"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC10"	"Leukopenia (<4000mm3 at least once)"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"494"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC11"	"Lymphopenia (<1000/mm3 at least once)"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"495"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC12"	"Thrombocytopenia (<100,000/m3 at least once)"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"496"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC13"	"ANA above lab reference range"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"497"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC14"	"Anti-dsDNA above lab reference range"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"498"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC15"	"Anti-Smith"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"499"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC16"	"Antiphospholipid antibody"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"500"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC17"	"Low complement"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"501"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICC18"	"Direct Coombs’ test in the absence of hemolytic anemia"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"502"	"Registry - SLE"	"SLICC Classification Criteria Score"	"Common Form"	"SLICC"	"SLICCSCR"	"TOTAL Number of Categories with Criteria Met"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"503"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"SLICCDTC"	"Date of Information"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"504"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"NODAMAGE"	"No Damage"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"505"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"CRTEVER"	"Any cataract ever"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"506"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"RETOPATR"	"Retinal change OR optic atrophy"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"507"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"COGIMP"	"Cognitive impairment (e.g. memory deficit, difficulty with calculation, poor concentration, difficulty in spoken or written language, impaired performance level) OR major psychosis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"508"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"SEZTHPY"	"Seizures requiring therapy for 6 months"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"509"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"CBVASACC"	"Cerebral vascular accident ever"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"510"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"CBVASNUM"	"Enter number of CVAs, at least 6 months apart"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"511"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"CVANUM"	"Number CVAs Hidden Field"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"512"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"CRPRNEUR"	"Cranial or peripheral neuropathy (excluding optic)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"513"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"TRANMYEL"	"Transverse myelitis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"514"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"GFR"	"Estimated or measured GFR <50%"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"515"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"PROTENUR"	"Proteinuria 24h, >3.5g"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"516"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"ESRENAL"	"End-stage renal disease (regardless of dialysis or transplantation)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"517"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"ESRENALH"	"End-stage renal disease Hidden Field"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"518"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"PULHT"	"Pulmonary hypertension (right ventricular prominence, or loud P2)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"519"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"PULFIBRO"	"Pulmonary fibrosis (physical and X-ray)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"520"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"SRNKLUNG"	"Shrinking lung (X-ray)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"521"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"PLEURFIB"	"Pleural fibrosis (X-ray)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"522"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"PULNFARC"	"Pulmonary infarction (X-ray)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"523"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"ANGCABG"	"Angina OR coronary artery bypass"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"524"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"MI"	"Myocardial infarction ever"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"525"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"MINUM"	"Enter number of MIs, at least 6 months apart"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"526"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"MINUMH"	"MI Hidden"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"527"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"CARDMYO"	"Cardiomyopathy (ventricular dysfunction)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"528"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"VALVDIS"	"Valvular disease (diastolic murmur, or systolic murmur >3/6)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"529"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"PERCARD"	"Pericarditis x6 months OR pericardiectomy"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"530"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"CLAUD"	"Claudication x6 months"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"531"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"TISSLOSS"	"Minor tissue loss (pulp space)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"532"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"SIGTISSL"	"Significant tissue loss ever (e.g. loss of digit or limb, resection)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"533"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"SIGTINUM"	"Enter number of episodes of significant tissue loss, at least 6 months apart"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"534"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"SIGNUMH"	"Significant tissue Hidden Field"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"535"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"VNTHROMB"	"Venous thrombosis with swelling, ulceration, OR venous stasis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"536"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"INFRCRES"	"Infarction or resection of bowel (below duodenum), spleen, liver, or gallbladder ever"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"537"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"INFRCNUM"	"Enter number of infarctions/resections, at least 6 months apart"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"538"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"INFRNUMH"	"Infarction Hidden Field"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"539"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"MESINSUF"	"Mesenteric insufficiency"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"540"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"CPERITON"	"Chronic peritonitis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"541"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"GITRSRG"	"Stricture OR upper gastrointestinal tract surgery ever"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"542"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"PNCINS"	"Pancreatic insufficiency requiring enzyme replacement or with pseudocyst"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"543"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"ATROWEAK"	"Atrophy or weakness"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"544"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"ARTHRITS"	"Deforming or erosive arthritis (including reducible deformities, excluding avascular necrosis)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"545"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"OSTEOPOR"	"Osteoporosis with fracture OR vertebral collapse (excluding avascular necrosis)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"546"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"AVSNECRO"	"Avascular necrosis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"547"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"AVSNENUM"	"Enter number of locations of AVN, at least 6 months apart"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"548"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"AVSNNUMH"	"Avascular necrosis Hidden Field"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"549"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"OSTEOMYE"	"Osteomyelitis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"550"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"RUPTENDN"	"Ruptured tendons"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"551"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"ALOPECIA"	"Alopecia"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"552"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"SCARPANN"	"Extensive scarring or panniculum other than scalp and pulp space"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"553"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"PREGONAF"	"Yes"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"554"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"DIABETS"	"Yes"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"555"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"MALIGNAC"	"Yes"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"556"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"MALIGNA"	"Malignancy sites"	"RadioButton (Vertical)"	"0"	"0 site"	"FALSE"	NA	"FALSE"	NA	NA
"557"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"MALIGNA"	"Malignancy sites"	"RadioButton (Vertical)"	"1"	"1 site"	"FALSE"	NA	"FALSE"	NA	NA
"558"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"MALIGNA"	"Malignancy sites"	"RadioButton (Vertical)"	"2"	"> 1 site"	"FALSE"	NA	"FALSE"	NA	NA
"559"	"Registry - SLE"	"SLICC Damage Index Form"	"Common Form"	"SLICCDI"	"DISCORE"	"TOTAL of Criteria Selected"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"560"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"ONMEDS"	"Has the subject ever taken medications for treatment of study disease except for Steroids?"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"561"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"ONMEDS"	"Has the subject ever taken medications for treatment of study disease except for Steroids?"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"562"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"1"	"Abatacept (Orencia)"	"FALSE"	NA	"TRUE"	NA	NA
"563"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"2"	"Adalimumab (Humira)"	"FALSE"	NA	"TRUE"	NA	NA
"564"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"3"	"Anakinra (Kineret)"	"FALSE"	NA	"TRUE"	NA	NA
"565"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"4"	"Apremilast (Otezla)"	"FALSE"	NA	"TRUE"	NA	NA
"566"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"5"	"Azathioprine (Imuran)"	"FALSE"	NA	"TRUE"	NA	NA
"567"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"6"	"Belimumab (Benlysta)"	"FALSE"	NA	"TRUE"	NA	NA
"568"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"7"	"Calcipotriene (Dovonex)"	"FALSE"	NA	"TRUE"	NA	NA
"569"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"8"	"Canakinumab (Ilaris)"	"FALSE"	NA	"TRUE"	NA	NA
"570"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"9"	"Certolizumab (Cimzia)"	"FALSE"	NA	"TRUE"	NA	NA
"571"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"10"	"Colchicine (Colcrys)"	"FALSE"	NA	"TRUE"	NA	NA
"572"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"11"	"Cyclophosphamide (Cytoxan)"	"FALSE"	NA	"TRUE"	NA	NA
"573"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"12"	"Cyclosporine A (Neoral, Sandimmune, Gengraf)"	"FALSE"	NA	"TRUE"	NA	NA
"574"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"13"	"Epratuzumab (LymphoCide)"	"FALSE"	NA	"TRUE"	NA	NA
"575"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"14"	"Etanercept (Enbrel)"	"FALSE"	NA	"TRUE"	NA	NA
"576"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"15"	"Folic Acid"	"FALSE"	NA	"TRUE"	NA	NA
"577"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"16"	"Folinic Acid (Leucovorin)"	"FALSE"	NA	"TRUE"	NA	NA
"578"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"17"	"Golimumab (Simponi)"	"FALSE"	NA	"TRUE"	NA	NA
"579"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"18"	"Hydroxychloroquine (Plaquenil)"	"FALSE"	NA	"TRUE"	NA	NA
"580"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"19"	"Imiquimod (Aldara)"	"FALSE"	NA	"TRUE"	NA	NA
"581"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"20"	"Immune Globulin (IVIG)"	"FALSE"	NA	"TRUE"	NA	NA
"582"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"21"	"Infliximab (Remicade)"	"FALSE"	NA	"TRUE"	NA	NA
"583"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"22"	"Leflunomide (Arava)"	"FALSE"	NA	"TRUE"	NA	NA
"584"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"23"	"Lenalidomide (Revlimid)"	"FALSE"	NA	"TRUE"	NA	NA
"585"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"24"	"Methotrexate"	"FALSE"	NA	"TRUE"	NA	NA
"586"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"25"	"Methotrexate injection device (Otrexup)"	"FALSE"	NA	"TRUE"	NA	NA
"587"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"26"	"Methotrexate injection device (Rasuvo)"	"FALSE"	NA	"TRUE"	NA	NA
"588"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"27"	"Mycophenolate mofetil (CellCept)"	"FALSE"	NA	"TRUE"	NA	NA
"589"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"28"	"Mycophenolic Acid (MPA, myfortic)"	"FALSE"	NA	"TRUE"	NA	NA
"590"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"29"	"Rilonacept (Arcalyst)"	"FALSE"	NA	"TRUE"	NA	NA
"591"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"30"	"Rituximab (Rituxan)"	"FALSE"	NA	"TRUE"	NA	NA
"592"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"31"	"Sirolimus (Rapamune)"	"FALSE"	NA	"TRUE"	NA	NA
"593"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"32"	"Sulfasalazine (Azulfidine)"	"FALSE"	NA	"TRUE"	NA	NA
"594"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"33"	"Tacrolimus oral (Prograf)"	"FALSE"	NA	"TRUE"	NA	NA
"595"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"34"	"Tacrolimus topical (Protopic)"	"FALSE"	NA	"TRUE"	NA	NA
"596"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"35"	"Thalidomide (Thalomid)"	"FALSE"	NA	"TRUE"	NA	NA
"597"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"36"	"Tocilizumab (Actemra)"	"FALSE"	NA	"TRUE"	NA	NA
"598"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"37"	"Tofacitinib (Xeljanz)"	"FALSE"	NA	"TRUE"	NA	NA
"599"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"38"	"Ustekinumab (Stelara)"	"FALSE"	NA	"TRUE"	NA	NA
"600"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"40"	"Quinacrine"	"FALSE"	NA	"TRUE"	NA	NA
"601"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"41"	"Chloroquine"	"FALSE"	NA	"TRUE"	NA	NA
"602"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"42"	"Dapsone"	"FALSE"	NA	"TRUE"	NA	NA
"603"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"43"	"Angiotensin converting enzyme inhibitor"	"FALSE"	NA	"TRUE"	NA	NA
"604"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"44"	"Angiotensin receptor blocker"	"FALSE"	NA	"TRUE"	NA	NA
"605"	"Registry - All"	"Medications"	"Medication Log"	"MEDS"	"MEDCATON"	"Medication"	"SearchList"	"45"	"Beta blocker"	"FALSE"	NA	"TRUE"	NA	NA
